Delitos Faltas: Nivel 1;Delitos Faltas: Nivel 2;Delitos Faltas: Nivel 3;Delitos Faltas: Nivel 4;Delitos Faltas: Nivel 5;Edad;Periodo;Total
Total Infracciones;A Delitos;3 Lesiones;;;14 años;2022;1.393
Total Infracciones;A Delitos;3 Lesiones;;;14 años;2021;1.450
Total Infracciones;A Delitos;3 Lesiones;;;14 años;2020;938
Total Infracciones;A Delitos;3 Lesiones;;;14 años;2019;1.292
Total Infracciones;A Delitos;3 Lesiones;;;14 años;2018;1.173
Total Infracciones;A Delitos;3 Lesiones;;;14 años;2017;877
Total Infracciones;A Delitos;3 Lesiones;;;14 años;2016;703
Total Infracciones;A Delitos;3 Lesiones;;;14 años;2015;361
Total Infracciones;A Delitos;3 Lesiones;;;14 años;2014;290
Total Infracciones;A Delitos;3 Lesiones;;;14 años;2013;265
Total Infracciones;A Delitos;3 Lesiones;;;15 años;2023;1.785
Total Infracciones;A Delitos;3 Lesiones;;;15 años;2022;1.879
Total Infracciones;A Delitos;3 Lesiones;;;15 años;2021;1.734
Total Infracciones;A Delitos;3 Lesiones;;;15 años;2020;1.331
Total Infracciones;A Delitos;3 Lesiones;;;15 años;2019;1.793
Total Infracciones;A Delitos;3 Lesiones;;;15 años;2018;1.463
Total Infracciones;A Delitos;3 Lesiones;;;15 años;2017;1.356
Total Infracciones;A Delitos;3 Lesiones;;;15 años;2016;1.017
Total Infracciones;A Delitos;3 Lesiones;;;15 años;2015;461
Total Infracciones;A Delitos;3 Lesiones;;;15 años;2014;448
Total Infracciones;A Delitos;3 Lesiones;;;15 años;2013;453
Total Infracciones;A Delitos;3 Lesiones;;;16 años;2023;2.127
Total Infracciones;A Delitos;3 Lesiones;;;16 años;2022;2.273
Total Infracciones;A Delitos;3 Lesiones;;;16 años;2021;3.091
Total Infracciones;A Delitos;3 Lesiones;;;16 años;2020;1.975
Total Infracciones;A Delitos;3 Lesiones;;;16 años;2019;2.369
Total Infracciones;A Delitos;3 Lesiones;;;16 años;2018;1.987
Total Infracciones;A Delitos;3 Lesiones;;;16 años;2017;1.674
Total Infracciones;A Delitos;3 Lesiones;;;16 años;2016;1.152
Total Infracciones;A Delitos;3 Lesiones;;;16 años;2015;638
Total Infracciones;A Delitos;3 Lesiones;;;16 años;2014;629
Total Infracciones;A Delitos;3 Lesiones;;;16 años;2013;629
Total Infracciones;A Delitos;3 Lesiones;;;17 años;2023;2.380
Total Infracciones;A Delitos;3 Lesiones;;;17 años;2022;2.568
Total Infracciones;A Delitos;3 Lesiones;;;17 años;2021;2.642
Total Infracciones;A Delitos;3 Lesiones;;;17 años;2020;1.983
Total Infracciones;A Delitos;3 Lesiones;;;17 años;2019;2.247
Total Infracciones;A Delitos;3 Lesiones;;;17 años;2018;2.075
Total Infracciones;A Delitos;3 Lesiones;;;17 años;2017;1.764
Total Infracciones;A Delitos;3 Lesiones;;;17 años;2016;1.353
Total Infracciones;A Delitos;3 Lesiones;;;17 años;2015;821
Total Infracciones;A Delitos;3 Lesiones;;;17 años;2014;796
Total Infracciones;A Delitos;3 Lesiones;;;17 años;2013;802
Total Infracciones;A Delitos;6 Contra la libertad;;;Total;2023;2.435
Total Infracciones;A Delitos;6 Contra la libertad;;;Total;2022;2.614
Total Infracciones;A Delitos;6 Contra la libertad;;;Total;2021;2.422
Total Infracciones;A Delitos;6 Contra la libertad;;;Total;2020;1.970
Total Infracciones;A Delitos;6 Contra la libertad;;;Total;2019;2.556
Total Infracciones;A Delitos;6 Contra la libertad;;;Total;2018;2.274
Total Infracciones;A Delitos;6 Contra la libertad;;;Total;2017;1.798
Total Infracciones;A Delitos;6 Contra la libertad;;;Total;2016;1.537
Total Infracciones;A Delitos;6 Contra la libertad;;;Total;2015;859
Total Infracciones;A Delitos;6 Contra la libertad;;;Total;2014;721
Total Infracciones;A Delitos;6 Contra la libertad;;;Total;2013;797
Total Infracciones;A Delitos;6 Contra la libertad;;;14 años;2023;561
Total Infracciones;A Delitos;6 Contra la libertad;;;14 años;2022;549
Total Infracciones;A Delitos;6 Contra la libertad;;;14 años;2021;430
Total Infracciones;A Delitos;6 Contra la libertad;;;14 años;2020;350
Total Infracciones;A Delitos;6 Contra la libertad;;;14 años;2019;532
Total Infracciones;A Delitos;6 Contra la libertad;;;14 años;2018;432
Total Infracciones;A Delitos;6 Contra la libertad;;;14 años;2017;351
Total Infracciones;A Delitos;6 Contra la libertad;;;14 años;2016;310
Total Infracciones;A Delitos;6 Contra la libertad;;;14 años;2015;192
Total Infracciones;A Delitos;6 Contra la libertad;;;14 años;2014;136
Total Infracciones;A Delitos;6 Contra la libertad;;;14 años;2013;150
Total Infracciones;A Delitos;6 Contra la libertad;;;15 años;2023;666
Total Infracciones;A Delitos;6 Contra la libertad;;;15 años;2022;657
Total Infracciones;A Delitos;6 Contra la libertad;;;15 años;2021;645
Total Infracciones;A Delitos;6 Contra la libertad;;;15 años;2020;484
Total Infracciones;A Delitos;6 Contra la libertad;;;15 años;2019;636
Total Infracciones;A Delitos;6 Contra la libertad;;;15 años;2018;551
Total Infracciones;A Delitos;6 Contra la libertad;;;15 años;2017;466
Total Infracciones;A Delitos;6 Contra la libertad;;;15 años;2016;347
Total Infracciones;A Delitos;6 Contra la libertad;;;15 años;2015;235
Total Infracciones;A Delitos;6 Contra la libertad;;;15 años;2014;173
Total Infracciones;A Delitos;6 Contra la libertad;;;15 años;2013;190
Total Infracciones;A Delitos;6 Contra la libertad;;;16 años;2023;601
Total Infracciones;A Delitos;6 Contra la libertad;;;16 años;2022;686
Total Infracciones;A Delitos;6 Contra la libertad;;;16 años;2021;691
Total Infracciones;A Delitos;6 Contra la libertad;;;16 años;2020;533
Total Infracciones;A Delitos;6 Contra la libertad;;;16 años;2019;691
Total Infracciones;A Delitos;6 Contra la libertad;;;16 años;2018;712
Total Infracciones;A Delitos;6 Contra la libertad;;;16 años;2017;484
Total Infracciones;A Delitos;6 Contra la libertad;;;16 años;2016;462
Total Infracciones;A Delitos;6 Contra la libertad;;;16 años;2015;212
Total Infracciones;A Delitos;6 Contra la libertad;;;16 años;2014;212
Total Infracciones;A Delitos;6 Contra la libertad;;;16 años;2013;234
Total Infracciones;A Delitos;6 Contra la libertad;;;17 años;2023;607
Total Infracciones;A Delitos;6 Contra la libertad;;;17 años;2022;722
Total Infracciones;A Delitos;6 Contra la libertad;;;17 años;2021;656
Total Infracciones;A Delitos;6 Contra la libertad;;;17 años;2020;603
Total Infracciones;A Delitos;6 Contra la libertad;;;17 años;2019;697
Total Infracciones;A Delitos;6 Contra la libertad;;;17 años;2018;579
Total Infracciones;A Delitos;6 Contra la libertad;;;17 años;2017;497
Total Infracciones;A Delitos;6 Contra la libertad;;;17 años;2016;418
Total Infracciones;A Delitos;6 Contra la libertad;;;17 años;2015;220
Total Infracciones;A Delitos;6 Contra la libertad;;;17 años;2014;200
Total Infracciones;A Delitos;6 Contra la libertad;;;17 años;2013;223
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;Total;2023;17
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;Total;2022;29
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;Total;2021;19
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;Total;2020;31
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;Total;2019;16
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;Total;2018;11
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;Total;2017;8
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;Total;2016;13
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;Total;2015;10
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;Total;2014;24
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;Total;2013;22
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;14 años;2023;5
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;14 años;2022;2
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;14 años;2021;3
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;14 años;2020;3
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;14 años;2019;1
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;14 años;2018;0
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;14 años;2017;1
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;14 años;2016;6
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;14 años;2015;1
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;14 años;2014;5
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;14 años;2013;4
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;15 años;2023;4
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;15 años;2022;9
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;15 años;2021;3
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;15 años;2020;5
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;15 años;2019;1
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;15 años;2018;0
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;15 años;2017;3
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;15 años;2016;3
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;15 años;2015;1
Total Infracciones;A Delitos;6 Contra la libertad;6.1 Detenciones ilegales y secuestro;;15 años;2014;9
