Delitos Faltas: Nivel 1;Delitos Faltas: Nivel 2;Delitos Faltas: Nivel 3;Delitos Faltas: Nivel 4;Delitos Faltas: Nivel 5;Edad;Periodo;Total
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;Total;2014;497
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;Total;2013;471
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;14 años;2023;63
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;14 años;2022;78
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;14 años;2021;65
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;14 años;2020;56
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;14 años;2019;64
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;14 años;2018;83
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;14 años;2017;62
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;14 años;2016;44
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;14 años;2015;60
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;14 años;2014;60
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;14 años;2013;56
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;15 años;2023;102
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;15 años;2022;124
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;15 años;2021;157
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;15 años;2020;76
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;15 años;2019;101
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;15 años;2018;115
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;15 años;2017;101
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;15 años;2016;86
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;15 años;2015;82
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;15 años;2014;103
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;15 años;2013;92
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;16 años;2023;154
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;16 años;2022;226
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;16 años;2021;233
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;16 años;2020;165
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;16 años;2019;181
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;16 años;2018;180
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;16 años;2017;153
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;16 años;2016;124
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;16 años;2015;119
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;16 años;2014;135
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;16 años;2013;117
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;17 años;2023;231
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;17 años;2022;366
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;17 años;2021;337
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;17 años;2020;190
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;17 años;2019;231
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;17 años;2018;212
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;17 años;2017;175
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;17 años;2016;156
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;17 años;2015;183
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;17 años;2014;199
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;17 años;2013;206
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;Total;2023;295
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;Total;2022;376
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;Total;2021;391
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;Total;2020;242
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;Total;2019;220
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;Total;2018;180
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;Total;2017;188
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;Total;2016;207
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;Total;2015;196
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;Total;2014;220
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;Total;2013;160
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;14 años;2023;24
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;14 años;2022;35
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;14 años;2021;37
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;14 años;2020;24
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;14 años;2019;20
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;14 años;2018;18
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;14 años;2017;29
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;14 años;2016;28
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;14 años;2015;13
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;14 años;2014;21
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;14 años;2013;10
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;15 años;2023;60
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;15 años;2022;68
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;15 años;2021;66
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;15 años;2020;45
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;15 años;2019;48
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;15 años;2018;24
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;15 años;2017;38
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;15 años;2016;38
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;15 años;2015;44
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;15 años;2014;43
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;15 años;2013;25
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;16 años;2023;78
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;16 años;2022;105
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;16 años;2021;106
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;16 años;2020;72
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;16 años;2019;67
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;16 años;2018;63
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;16 años;2017;60
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;16 años;2016;51
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;16 años;2015;53
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;16 años;2014;65
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;16 años;2013;50
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;17 años;2023;133
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;17 años;2022;168
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;17 años;2021;182
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;17 años;2020;101
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;17 años;2019;85
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;17 años;2018;75
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;17 años;2017;61
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;17 años;2016;90
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;17 años;2015;86
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;17 años;2014;91
Total Infracciones;A Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;17 años;2013;75
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;Total;2023;47
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;Total;2022;43
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;Total;2021;39
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;Total;2020;23
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;Total;2019;21
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;Total;2018;31
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;Total;2017;16
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;Total;2016;24
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;Total;2015;34
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;Total;2014;37
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;Total;2013;27
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;14 años;2023;4
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;14 años;2022;4
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;14 años;2021;4
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;14 años;2020;2
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;14 años;2019;0
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;14 años;2018;3
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;14 años;2017;3
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;14 años;2016;1
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;14 años;2015;7
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;14 años;2014;3
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;14 años;2013;1
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;15 años;2023;9
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;15 años;2022;5
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;15 años;2021;6
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;15 años;2020;7
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;15 años;2019;6
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;15 años;2018;6
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;15 años;2017;3
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;15 años;2016;3
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;15 años;2015;8
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;15 años;2014;5
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;15 años;2013;7
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;16 años;2023;10
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;16 años;2022;10
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;16 años;2021;14
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;16 años;2020;8
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;16 años;2019;6
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;16 años;2018;13
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;16 años;2017;4
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;16 años;2016;11
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;16 años;2015;3
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;16 años;2014;7
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;16 años;2013;7
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;17 años;2023;24
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;17 años;2022;24
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;17 años;2021;15
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;17 años;2020;6
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;17 años;2019;9
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;17 años;2018;9
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;17 años;2017;6
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;17 años;2016;9
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;17 años;2015;16
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;17 años;2014;22
Total Infracciones;A Delitos;22 Contra el orden público;22.5 Tenencia, tráfico, depósito de armas y explosivos;;17 años;2013;12
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;Total;2023;108
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;Total;2022;129
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;Total;2021;105
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;Total;2020;33
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;Total;2019;58
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;Total;2018;26
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;Total;2017;58
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;Total;2016;46
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;Total;2015;82
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;Total;2014;44
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;Total;2013;18
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;14 años;2023;23
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;14 años;2022;12
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;14 años;2021;9
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;14 años;2020;2
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;14 años;2019;11
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;14 años;2018;5
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;14 años;2017;7
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;14 años;2016;4
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;14 años;2015;9
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;14 años;2014;6
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;14 años;2013;2
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;15 años;2023;21
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;15 años;2022;17
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;15 años;2021;26
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;15 años;2020;8
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;15 años;2019;13
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;15 años;2018;9
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;15 años;2017;13
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;15 años;2016;4
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;15 años;2015;22
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;15 años;2014;7
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;15 años;2013;2
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;16 años;2023;34
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;16 años;2022;33
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;16 años;2021;42
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;16 años;2020;13
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;16 años;2019;13
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;16 años;2018;6
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;16 años;2017;16
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;16 años;2016;18
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;16 años;2015;27
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;16 años;2014;17
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;16 años;2013;5
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;17 años;2023;30
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;17 años;2022;67
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;17 años;2021;28
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;17 años;2020;10
Total Infracciones;A Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;17 años;2019;21
